,was_home,home_team,away_team,proj_score1,proj_score2,influence_roll,creativity_roll,threat_roll,ict_index_roll,minutes_roll,selected_roll,red_cards,yellow_cards,xP,total_points_x,bonus,clean_sheets,assists,minutes,influence,creativity,threat,ict_index,team_pts,team_rank,xG_diff_team,deep_diff_team,scored_diff_team,opponent_points,gw,opponent_rank,xG_diff_opponent,deep_diff_opponent,scored_diff_opponent,rank_diff,proj_score_diff,team_total_points_cumsum,percent_team_points,position_flag,pos_0,pos_1,pos_2,pos_3,player_name,position,team,total_points_y,point_flag,predictions
123,True,19,3,1.45,1.17,0.014285714285714287,0.05714285714285715,0.0,0.0071428571428571435,0.2857142857142857,6389.428571428572,0,0,0.4000000000000001,2,0,0,0,3,0.2,0.5,0.0,0.1,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.003246753246753247,3,0,0,0,1,Robert Snodgrass,MID,West Ham,2,0,0.01380195
124,True,19,3,1.45,1.17,4.314285714285715,7.842857142857142,0.42857142857142855,1.2642857142857142,16.357142857142858,23931.571428571428,0,0,-0.3,1,0,0,0,1,0.0,0.0,0.0,0.0,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0016233766233766235,0,1,0,0,0,Ryan Fredericks,DEF,West Ham,1,0,0.0081416
125,True,19,3,1.45,1.17,6.066666666666666,5.699999999999999,12.666666666666666,2.4555555555555553,30.22222222222222,17080.0,0,0,4.8,5,0,0,0,193,11.399999999999999,18.1,31.0,6.200000000000001,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.008116883116883116,3,0,0,0,1,Saïd Benrahma,MID,West Ham,5,0,0.09994461
126,True,19,3,1.45,1.17,11.471428571428572,7.364285714285714,22.928571428571427,4.178571428571429,50.57142857142857,26124.285714285714,0,0,11.0,11,1,0,0,270,55.0,8.1,135.0,19.799999999999997,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.017857142857142856,1,0,1,0,0,Sébastien Haller,FWD,West Ham,11,0,0.17074652
127,True,19,3,1.45,1.17,18.114285714285714,5.935714285714285,24.714285714285715,4.871428571428572,90.0,310688.64285714284,0,0,14.100000000000001,13,2,0,0,270,63.0,16.1,65.0,14.4,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.021103896103896104,3,0,0,0,1,Tomas Soucek,MID,West Ham,13,1,0.0654924
128,True,19,3,1.45,1.17,21.181818181818183,24.845454545454547,5.090909090909091,5.118181818181818,89.45454545454545,115451.45454545454,0,0,9.399999999999999,11,3,0,1,270,95.80000000000001,122.89999999999999,4.0,22.3,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.017857142857142856,0,1,0,0,0,Vladimir Coufal,DEF,West Ham,11,0,0.2121983
175,True,15,7,1.15,1.49,25.485714285714288,0.7142857142857143,0.2857142857142857,2.650000000000001,90.0,274810.14285714284,0,1,5.5,6,0,0,0,270,71.8,0.0,0.0,7.2,2,17.0,-0.7472885000000002,0.42934782608695654,0.2424242424242424,26,14,3.0,0.24891299999999972,0.42780748663101603,0.5681818181818181,14.0,-0.3400000000000001,338,0.01775147928994083,2,0,0,1,0,Aaron Ramsdale,GK,Sheffield Utd,6,0,0.120570935
176,True,15,7,1.15,1.49,4.114285714285715,6.485714285714285,3.2142857142857144,1.385714285714286,29.714285714285715,2232.9285714285716,0,1,0.10000000000000003,0,0,0,0,20,2.2,10.3,0.0,1.3,2,17.0,-0.7472885000000002,0.42934782608695654,0.2424242424242424,26,14,3.0,0.24891299999999972,0.42780748663101603,0.5681818181818181,14.0,-0.3400000000000001,338,0.0,3,0,0,0,1,Ben Osborn,MID,Sheffield Utd,0,0,0.022707703
177,True,15,7,1.15,1.49,2.6142857142857143,0.4428571428571428,4.5,0.75,13.428571428571429,12651.857142857143,0,0,0.10000000000000003,1,0,0,0,59,0.0,1.3,2.0,0.2,2,17.0,-0.7472885000000002,0.42934782608695654,0.2424242424242424,26,14,3.0,0.24891299999999972,0.42780748663101603,0.5681818181818181,14.0,-0.3400000000000001,338,0.0029585798816568047,1,0,1,0,0,Billy Sharp,FWD,Sheffield Utd,1,0,0.004910762
178,True,15,7,1.15,1.49,17.000000000000004,6.921428571428571,4.857142857142857,2.8785714285714286,82.57142857142857,86096.35714285714,0,1,3.7,3,0,0,0,249,47.8,5.8,11.0,6.5,2,17.0,-0.7472885000000002,0.42934782608695654,0.2424242424242424,26,14,3.0,0.24891299999999972,0.42780748663101603,0.5681818181818181,14.0,-0.3400000000000001,338,0.008875739644970414,0,1,0,0,0,Chris Basham,DEF,Sheffield Utd,3,0,0.19988108
